date,time,open,high,low,close,volume
="2019-11-04",08.30.00,194.5500,195.4700,194.4800,195.3300,684332
="2019-11-04",08.31.00,195.2738,195.6238,195.1835,195.4738,91569
="2019-11-04",08.32.00,195.4450,195.4450,195.0900,195.1650,41439
="2019-11-04",08.33.00,195.3500,195.6300,195.3400,195.6300,162008
="2019-11-04",08.34.00,195.5900,195.5900,195.3222,195.4000,57720
="2019-11-04",08.35.00,195.8300,195.9500,195.8300,195.9500,290831
="2019-11-04",08.36.00,195.9513,196.1500,195.9513,196.1500,109155
="2019-11-04",08.37.00,196.1700,196.4300,196.1700,196.4110,117749
="2019-11-04",08.39.00,196.4750,196.4750,196.4750,196.4750,145410
="2019-11-04",08.42.00,196.1109,196.1109,195.7002,195.7700,486269
="2019-11-04",08.43.00,195.4500,195.4500,195.4500,195.4500,165228
="2019-11-04",08.44.00,195.4496,195.7150,195.4496,195.6046,140144
="2019-11-04",08.45.00,195.5940,195.6200,195.5800,195.5800,109870
="2019-11-04",08.46.00,195.8600,195.8840,195.8600,195.8840,147955
="2019-11-04",08.47.00,195.8400,196.2600,195.8400,196.2600,79608
="2019-11-04",08.48.00,196.4000,196.4250,196.2606,196.4250,153082
="2019-11-04",08.49.00,196.4300,196.4300,196.2495,196.3100,151260
="2019-11-04",08.50.00,196.4200,196.6800,196.4200,196.6800,127165
="2019-11-04",08.51.00,196.7400,196.9100,196.7400,196.8100,106467
="2019-11-04",08.52.00,196.8900,197.0900,196.8900,197.0900,156082
="2019-11-04",08.53.00,197.1100,197.3100,197.1100,197.1700,129534
="2019-11-04",08.54.00,197.1500,197.1500,196.9650,196.9650,99250
="2019-11-04",08.55.00,196.9600,197.0699,196.9500,196.9500,65004
="2019-11-04",08.56.00,196.9300,196.9804,196.9300,196.9804,82959
="2019-11-04",08.57.00,197.0350,197.1800,197.0350,197.1800,112644
="2019-11-04",08.58.00,197.1400,197.2847,197.1400,197.2500,110140
="2019-11-04",08.59.00,197.1500,197.2800,197.0200,197.1200,108986
="2019-11-04",09.00.00,197.1695,197.1700,196.8400,196.8810,68266
="2019-11-04",09.01.00,196.8800,196.9000,196.7200,196.8400,59124
="2019-11-04",09.02.00,196.8400,196.8400,196.4200,196.4700,97670
="2019-11-04",09.03.00,196.4500,196.5400,196.4100,196.4900,48379
="2019-11-04",09.04.00,196.4500,196.6800,196.4500,196.6699,45730
="2019-11-04",09.05.00,196.6600,196.6794,196.5238,196.5600,45002
="2019-11-04",09.06.00,196.5600,196.7000,196.5565,196.5824,32372
="2019-11-04",09.07.00,196.6000,196.7828,196.6000,196.7000,48799
="2019-11-04",09.08.00,196.7250,196.7900,196.4900,196.5400,68329
="2019-11-04",09.09.00,196.5400,196.5500,196.2500,196.3300,37009
="2019-11-04",09.10.00,196.3400,196.5500,196.3400,196.5400,29659
="2019-11-04",09.11.00,196.5531,196.7830,196.5300,196.7700,62312
="2019-11-04",09.12.00,196.7500,196.7650,196.3218,196.3250,59269
="2019-11-04",09.13.00,196.3249,196.3927,196.2900,196.3203,34876
="2019-11-04",09.14.00,196.3400,196.4599,196.3200,196.4152,31582
="2019-11-04",09.15.00,196.4100,196.5600,196.3643,196.5600,47172
="2019-11-04",09.16.00,196.5500,196.5800,196.4700,196.5550,32197
="2019-11-04",09.17.00,196.5600,196.7200,196.5200,196.5919,33538
="2019-11-04",09.18.00,196.5800,196.8300,196.5791,196.6900,42896
="2019-11-04",09.19.00,196.6800,196.7100,196.5725,196.6200,36951
="2019-11-04",09.20.00,196.6388,196.6800,196.5100,196.5800,33072
="2019-11-04",09.21.00,196.5600,196.6661,196.5500,196.6661,31806
="2019-11-04",09.22.00,196.6500,196.6700,196.5400,196.5450,28508
="2019-11-04",09.23.00,196.5200,196.5200,196.3700,196.5200,31972
="2019-11-04",09.24.00,196.5200,196.5900,196.5100,196.5100,33370
="2019-11-04",09.25.00,196.5146,196.5150,196.2700,196.3200,47303
="2019-11-04",09.26.00,196.3200,196.3500,196.2500,196.2900,32779
="2019-11-04",09.27.00,196.2900,196.2900,196.0800,196.1300,66392
="2019-11-04",09.28.00,196.1100,196.2500,196.1000,196.1000,25133
="2019-11-04",09.29.00,196.1038,196.2848,195.9241,196.0538,79066
="2019-11-04",09.30.00,196.0500,196.1100,195.9600,196.0600,39480
="2019-11-04",09.31.00,196.0500,196.0500,195.6400,195.6550,78539
="2019-11-04",09.32.00,195.6550,195.8500,195.6550,195.8010,65002
="2019-11-04",09.33.00,195.8200,195.8500,195.7600,195.8000,43380
