date,time,open,high,low,close,volume
="2019-11-04",08.30.00,346.2200,346.9694,346.0500,346.8596,82090
="2019-11-04",08.31.00,346.8871,347.1180,346.5500,346.6620,17625
="2019-11-04",08.32.00,346.9000,347.0590,346.6100,347.0590,40123
="2019-11-04",08.33.00,346.9000,347.3500,346.6800,347.1700,28525
="2019-11-04",08.34.00,347.1650,347.2900,346.8201,346.9950,16193
="2019-11-04",08.35.00,347.0600,347.7300,347.0600,347.3700,31360
="2019-11-04",08.36.00,347.3299,347.9500,347.2300,347.8300,18086
="2019-11-04",08.37.00,347.8101,348.0900,347.5100,348.0489,22402
="2019-11-04",08.38.00,348.0482,348.2900,347.7100,347.7900,12037
="2019-11-04",08.39.00,347.7989,348.0100,347.7474,347.8144,6467
="2019-11-04",08.40.00,347.8445,348.1114,347.4833,347.5068,23492
="2019-11-04",08.41.00,347.5400,347.6799,347.5001,347.5637,17758
="2019-11-04",08.42.00,347.5083,347.6500,347.3000,347.5800,15113
="2019-11-04",08.43.00,347.6500,347.6500,347.2629,347.3202,3367
="2019-11-04",08.44.00,347.3999,347.5896,347.2201,347.5896,7765
="2019-11-04",08.45.00,347.6400,347.9500,347.6300,347.8469,9070
="2019-11-04",08.46.00,347.8943,348.1399,347.5400,347.5650,34922
="2019-11-04",08.47.00,347.5500,347.6600,347.3200,347.6000,12784
="2019-11-04",08.48.00,347.6300,347.8000,347.5750,347.8000,5973
="2019-11-04",08.49.00,347.8198,348.0150,347.6000,348.0000,14091
="2019-11-04",08.50.00,348.0600,348.8700,348.0200,348.8150,26497
="2019-11-04",08.51.00,348.8700,349.4000,348.7700,349.0000,47519
="2019-11-04",08.52.00,348.8900,348.9099,348.6650,348.7766,15337
="2019-11-04",08.53.00,348.7900,348.8800,348.6000,348.6424,12036
="2019-11-04",08.54.00,348.6999,349.0200,348.6900,348.9400,14610
="2019-11-04",08.55.00,348.9400,349.3800,348.9400,349.1316,25904
="2019-11-04",08.56.00,349.0701,349.2000,348.7300,348.8150,11576
="2019-11-04",08.57.00,348.7400,348.8284,348.4300,348.5734,19817
="2019-11-04",08.58.00,348.5750,348.8200,348.5468,348.6121,10053
="2019-11-04",08.59.00,348.6500,348.7200,348.4300,348.5000,13609
="2019-11-04",09.00.00,348.5700,348.6500,347.8100,347.8200,35461
="2019-11-04",09.01.00,347.7500,348.0400,347.5800,347.7700,18685
="2019-11-04",09.02.00,347.8340,348.1500,347.6400,348.1466,7763
="2019-11-04",09.03.00,348.1000,348.3600,348.0504,348.0504,6368
="2019-11-04",09.04.00,348.0975,348.1022,347.9500,347.9500,4410
="2019-11-04",09.05.00,347.9500,348.4397,347.9500,348.4177,9158
="2019-11-04",09.06.00,348.4581,348.5000,348.2600,348.3133,5178
="2019-11-04",09.07.00,348.3650,348.6900,348.3650,348.6300,10500
="2019-11-04",09.08.00,348.6000,348.7700,348.5100,348.7600,6208
="2019-11-04",09.09.00,348.7700,348.7700,348.4800,348.5746,4001
="2019-11-04",09.10.00,348.6443,348.7000,348.5490,348.5900,6671
="2019-11-04",09.11.00,348.6400,348.6400,348.4900,348.5000,4683
="2019-11-04",09.12.00,348.4700,348.4800,348.0101,348.0101,6191
="2019-11-04",09.13.00,348.0520,348.1000,347.8800,347.9185,5609
="2019-11-04",09.14.00,347.9900,347.9900,347.7700,347.9600,8656
="2019-11-04",09.15.00,348.0000,348.2700,348.0000,348.1800,7534
="2019-11-04",09.16.00,348.1150,348.2812,348.1150,348.1600,4964
="2019-11-04",09.17.00,348.2050,348.4686,348.1600,348.2500,6595
="2019-11-04",09.18.00,348.2490,348.5100,348.2490,348.4352,6557
="2019-11-04",09.19.00,348.5000,348.5180,348.1807,348.1807,2873
="2019-11-04",09.20.00,348.3100,348.3200,348.1500,348.2000,2279
="2019-11-04",09.21.00,348.2200,348.3100,348.1300,348.3021,8177
="2019-11-04",09.22.00,348.2700,348.2700,348.0900,348.1672,4056
="2019-11-04",09.23.00,348.0800,348.0800,347.7950,347.7950,8910
="2019-11-04",09.24.00,347.8000,347.8000,347.6300,347.7100,17627
="2019-11-04",09.25.00,347.7000,347.8500,347.7000,347.8130,5738
="2019-11-04",09.26.00,347.8340,348.0500,347.7500,347.9801,10751
="2019-11-04",09.27.00,348.0500,348.4200,348.0500,348.4000,11424
="2019-11-04",09.28.00,348.3994,348.5700,348.3400,348.4435,12201
="2019-11-04",09.29.00,348.3700,348.5254,348.3700,348.4301,4556
="2019-11-04",09.30.00,348.4300,348.6800,348.3600,348.6352,10719
="2019-11-04",09.31.00,348.6600,348.7700,348.6372,348.7400,6165
="2019-11-04",09.32.00,348.7000,348.8100,348.6200,348.7700,7141
="2019-11-04",09.33.00,348.7200,348.9294,348.6601,348.9000,12205
="2019-11-04",09.34.00,348.8700,349.0938,348.8700,348.9800,16505
="2019-11-04",09.35.00,348.9839,349.0299,348.6800,348.6800,6720
="2019-11-04",09.36.00,348.7200,348.7200,348.2600,348.2900,7487
="2019-11-04",09.37.00,348.3800,348.6101,348.3525,348.5654,9904
="2019-11-04",09.38.00,348.5700,348.9717,348.5320,348.9717,17615
="2019-11-04",09.39.00,348.9700,349.2500,348.9200,349.2500,18646
="2019-11-04",09.40.00,349.2800,349.4700,349.2700,349.2800,12763
="2019-11-04",09.41.00,349.2768,349.5500,349.2768,349.4900,16731
="2019-11-04",09.42.00,349.4601,349.5050,349.3500,349.3600,5378
="2019-11-04",09.43.00,349.4063,349.7500,349.4063,349.6412,9262
="2019-11-04",09.44.00,349.7000,349.7000,349.5200,349.5645,7501
="2019-11-04",09.45.00,349.5899,349.5899,349.3900,349.4200,9252
="2019-11-04",09.46.00,349.4550,349.7100,349.4391,349.4600,9200
="2019-11-04",09.47.00,349.4900,349.5391,349.4200,349.4200,7210
="2019-11-04",09.48.00,349.4100,349.4300,349.2600,349.2932,5738
="2019-11-04",09.49.00,349.3100,349.5800,349.2305,349.3800,10776
="2019-11-04",09.50.00,349.4340,349.4340,349.2567,349.4150,2833
="2019-11-04",09.51.00,349.3645,349.4200,349.0100,349.0500,5269
="2019-11-04",09.52.00,349.1000,349.1447,349.0441,349.0606,6853
="2019-11-04",09.53.00,349.1000,349.1000,348.8600,348.9300,7045
="2019-11-04",09.54.00,348.7860,348.8000,348.5200,348.5200,6303
="2019-11-04",09.55.00,348.5000,348.5300,348.2900,348.3100,8200
="2019-11-04",09.56.00,348.2600,348.6700,348.2600,348.6700,4439
="2019-11-04",09.57.00,348.6189,348.6250,348.5250,348.5400,4445
="2019-11-04",09.58.00,348.5600,348.7900,348.5600,348.7451,4848
="2019-11-04",09.59.00,348.7600,348.9200,348.6300,348.8400,6272
="2019-11-04",10.00.00,348.8250,348.8420,348.6501,348.6600,5088
