="date",time,open,high,low,close,volume
="2019-11-04",08.30.00,134.1235,134.2700,133.8796,134.0335,58416
="2019-11-04",08.31.00,133.8826,134.0955,133.8653,133.9126,7004
="2019-11-04",08.32.00,133.9150,134.1155,133.9054,133.9150,6911
="2019-11-04",08.33.00,133.8948,134.1245,133.4238,133.5548,366147
="2019-11-04",08.34.00,133.5950,133.7200,133.4700,133.5300,27634
="2019-11-04",08.35.00,133.5100,133.5460,133.0400,133.1400,54786
="2019-11-04",08.36.00,133.0829,133.2200,133.0300,133.1595,25511
="2019-11-04",08.37.00,133.1690,133.1900,133.0300,133.1300,23474
="2019-11-04",08.38.00,133.1400,133.2500,133.0700,133.1500,26711
="2019-11-04",08.39.00,133.1315,133.2700,133.1200,133.1700,36110
="2019-11-04",08.40.00,133.1800,133.2400,133.1200,133.1600,32657
="2019-11-04",08.41.00,133.1641,133.3600,133.0400,133.1399,58359
="2019-11-04",08.42.00,133.1400,133.2400,133.0600,133.1299,26918
="2019-11-04",08.43.00,133.1300,133.1599,133.0800,133.0950,20676
="2019-11-04",08.44.00,133.1238,133.2100,133.0400,133.2100,16000
="2019-11-04",08.45.00,133.2100,133.3100,133.0900,133.1900,33275
="2019-11-04",08.46.00,133.1846,133.1846,133.1000,133.1400,15471
="2019-11-04",08.47.00,133.1368,133.1368,132.8900,132.8900,118810
="2019-11-04",08.48.00,132.9200,133.0800,132.9001,133.0199,50317
="2019-11-04",08.49.00,133.0200,133.0464,132.9721,132.9750,24331
="2019-11-04",08.50.00,132.9915,133.0600,132.9500,132.9800,54472
="2019-11-04",08.51.00,132.9600,132.9800,132.9200,132.9700,22717
="2019-11-04",08.52.00,132.9650,132.9850,132.9400,132.9400,27261
="2019-11-04",08.53.00,132.9413,133.0100,132.8800,133.0100,51589
="2019-11-04",08.54.00,133.0100,133.0900,133.0000,133.0800,19313
="2019-11-04",08.55.00,133.1000,133.1000,132.9700,132.9800,27768
="2019-11-04",08.56.00,133.0300,133.0700,132.9800,132.9950,13391
="2019-11-04",08.57.00,132.9963,133.0700,132.9900,133.0200,19896
="2019-11-04",08.58.00,133.0381,133.1000,132.9900,133.0101,19642
="2019-11-04",08.59.00,133.0000,133.0100,132.9400,132.9600,12921
="2019-11-04",09.00.00,132.9600,132.9900,132.9100,132.9300,15135
="2019-11-04",09.01.00,132.9500,133.0000,132.8300,132.8600,35680
="2019-11-04",09.02.00,132.8800,132.8800,132.8100,132.8300,24964
="2019-11-04",09.03.00,132.8400,132.9500,132.8250,132.9100,12714
="2019-11-04",09.04.00,132.9100,133.1000,132.9003,133.1000,27785
="2019-11-04",09.05.00,133.0900,133.1000,133.0400,133.0800,30573
="2019-11-04",09.06.00,133.1000,133.1000,133.0500,133.0900,24745
="2019-11-04",09.07.00,133.0900,133.1000,133.0600,133.0800,7783
="2019-11-04",09.08.00,133.0900,133.2400,133.0800,133.2200,30227
="2019-11-04",09.09.00,133.2200,133.2300,133.1300,133.1425,20180
="2019-11-04",09.10.00,133.1500,133.3100,133.1500,133.2700,61531
="2019-11-04",09.11.00,133.2700,133.3300,133.2400,133.3150,15629
="2019-11-04",09.12.00,133.3300,133.4000,133.3188,133.3500,21216
="2019-11-04",09.13.00,133.3500,133.3500,133.2600,133.3200,14916
="2019-11-04",09.14.00,133.3300,133.4200,133.3200,133.3950,39132
="2019-11-04",09.15.00,133.3950,133.4199,133.3465,133.3600,12055
="2019-11-04",09.16.00,133.3600,133.4300,133.3300,133.4020,16817
="2019-11-04",09.17.00,133.4100,133.5300,133.3763,133.5250,32605
="2019-11-04",09.18.00,133.5041,133.6000,133.5000,133.5000,26433
="2019-11-04",09.19.00,133.4798,133.5000,133.3500,133.3950,19328
="2019-11-04",09.20.00,133.3900,133.4050,133.3200,133.3600,17935
="2019-11-04",09.21.00,133.3700,133.4200,133.3600,133.4100,9226
="2019-11-04",09.22.00,133.3900,133.3900,133.3100,133.3100,9082
="2019-11-04",09.23.00,133.3100,133.3900,133.3100,133.3850,9812
="2019-11-04",09.24.00,133.3714,133.4200,133.3650,133.4074,21338
="2019-11-04",09.25.00,133.4200,133.4700,133.4075,133.4250,18392
="2019-11-04",09.26.00,133.4250,133.4500,133.4000,133.4300,14248
="2019-11-04",09.27.00,133.4200,133.5200,133.4200,133.5200,11000
="2019-11-04",09.28.00,133.5500,133.5600,133.4750,133.4800,20505
="2019-11-04",09.29.00,133.4800,133.5200,133.4500,133.4725,8307
="2019-11-04",09.30.00,133.4800,133.4800,133.3900,133.4100,15788
="2019-11-04",09.31.00,133.4028,133.4600,133.3900,133.4400,13761
="2019-11-04",09.32.00,133.4505,133.4505,133.3700,133.3700,13386
="2019-11-04",09.33.00,133.3601,133.3950,133.3600,133.3800,11025
="2019-11-04",09.34.00,133.3800,133.5100,133.3709,133.4800,20055
="2019-11-04",09.35.00,133.4800,133.5000,133.4550,133.4925,16656
="2019-11-04",09.36.00,133.5000,133.5650,133.5000,133.5500,18217
="2019-11-04",09.37.00,133.5500,133.5600,133.4650,133.4900,17958
="2019-11-04",09.38.00,133.4928,133.5193,133.4200,133.4338,7432
="2019-11-04",09.39.00,133.4000,133.4250,133.3800,133.4250,6259
="2019-11-04",09.40.00,133.4300,133.4500,133.3800,133.4450,12032
="2019-11-04",09.41.00,133.4500,133.4799,133.4300,133.4500,6554
="2019-11-04",09.42.00,133.4600,133.5000,133.4400,133.4800,7911
="2019-11-04",09.43.00,133.4900,133.5078,133.4500,133.4700,7536
="2019-11-04",09.44.00,133.4700,133.4900,133.4100,133.4100,12770
="2019-11-04",09.45.00,133.4250,133.5500,133.4250,133.5500,7023
="2019-11-04",09.46.00,133.5400,133.6200,133.4800,133.4900,16732
="2019-11-04",09.47.00,133.5000,133.5100,133.4500,133.4800,13211
="2019-11-04",09.48.00,133.4722,133.5000,133.4300,133.4300,6695
="2019-11-04",09.49.00,133.4300,133.5300,133.4300,133.4500,22197
="2019-11-04",09.50.00,133.4500,133.5400,133.4300,133.5400,28148
="2019-11-04",09.51.00,133.5100,133.5800,133.4950,133.5365,9013
="2019-11-04",09.52.00,133.5400,133.5900,133.5300,133.5300,5324
="2019-11-04",09.53.00,133.5300,133.5350,133.4500,133.4850,13253
="2019-11-04",09.54.00,133.4889,133.4889,133.4150,133.4446,8000
="2019-11-04",09.55.00,133.4500,133.5100,133.4300,133.5065,9201
="2019-11-04",09.56.00,133.5000,133.5100,133.4527,133.4641,25937
="2019-11-04",09.57.00,133.4650,133.4650,133.3800,133.3850,11223
="2019-11-04",09.58.00,133.3701,133.4200,133.3701,133.3900,7136
="2019-11-04",09.59.00,133.3800,133.3900,133.3400,133.3600,11099
="2019-11-04",10.00.00,133.3601,133.3700,133.3300,133.3566,9675
="2019-11-04",10.01.00,133.3500,133.3700,133.3200,133.3350,8981
="2019-11-04",10.02.00,133.3400,133.3600,133.3000,133.3000,12407
="2019-11-04",10.03.00,133.2900,133.3200,133.2500,133.3101,10478
="2019-11-04",10.04.00,133.3200,133.3858,133.3180,133.3550,8383
="2019-11-04",10.05.00,133.3700,133.3700,133.3000,133.3000,7945
="2019-11-04",10.06.00,133.3100,133.3300,133.2763,133.2900,10014
="2019-11-04",10.07.00,133.3100,133.3450,133.2690,133.3350,7584
="2019-11-04",10.08.00,133.2973,133.3100,133.2490,133.2700,12280
="2019-11-04",10.09.00,133.2600,133.2700,133.2200,133.2300,9427
="2019-11-04",10.10.00,133.2399,133.2600,133.2300,133.2466,3517
="2019-11-04",10.11.00,133.1944,133.1962,133.1700,133.1740,16288
="2019-11-04",10.12.00,133.1732,133.1732,133.1500,133.1600,2846
="2019-11-04",10.13.00,133.1400,133.1500,133.1331,133.1331,23845
="2019-11-04",10.14.00,133.1350,133.1699,133.1100,133.1125,19248
="2019-11-04",10.15.00,133.1000,133.1500,133.0800,133.1400,8902
="2019-11-04",10.16.00,133.1400,133.2500,133.1400,133.1711,10184
="2019-11-04",10.17.00,133.1700,133.2400,133.1600,133.2200,14365
="2019-11-04",10.18.00,133.2242,133.2771,133.2200,133.2200,11839
="2019-11-04",10.19.00,133.2050,133.2100,133.1500,133.1500,10297
="2019-11-04",10.20.00,133.1680,133.1900,133.1400,133.1900,10155
="2019-11-04",10.21.00,133.1900,133.2500,133.1900,133.1912,10712
="2019-11-04",10.22.00,133.2200,133.2438,133.1900,133.2438,7969
="2019-11-04",10.23.00,133.2400,133.2500,133.1900,133.2000,8200
="2019-11-04",10.24.00,133.1900,133.2097,133.1600,133.1817,7145
="2019-11-04",10.25.00,133.1800,133.1800,133.1500,133.1600,9051
="2019-11-04",10.26.00,133.1500,133.1800,133.1400,133.1700,13619
="2019-11-04",10.27.00,133.1607,133.1800,133.1607,133.1700,7418
="2019-11-04",10.28.00,133.1750,133.1750,133.1150,133.1200,5384
="2019-11-04",10.29.00,133.1350,133.1500,133.0800,133.1300,15071
="2019-11-04",10.30.00,133.1366,133.1366,133.0501,133.0950,18703
="2019-11-04",10.31.00,133.0900,133.1000,133.0400,133.1000,10999
="2019-11-04",10.32.00,133.1100,133.1400,133.0900,133.1400,38142
="2019-11-04",10.33.00,133.1258,133.1700,133.1000,133.1086,23461
="2019-11-04",10.34.00,133.1200,133.1500,133.1090,133.1350,13668
="2019-11-04",10.35.00,133.1368,133.1500,133.1200,133.1500,24053
="2019-11-04",10.36.00,133.1500,133.2100,133.1300,133.2100,5139
="2019-11-04",10.37.00,133.2200,133.2400,133.1774,133.1800,8964
="2019-11-04",10.38.00,133.1700,133.1828,133.1500,133.1604,6473
="2019-11-04",10.39.00,133.1720,133.2000,133.1706,133.1800,4328
="2019-11-04",10.40.00,133.1750,133.1936,133.1750,133.1900,6045
="2019-11-04",10.41.00,133.1701,133.1701,133.1400,133.1550,7830
="2019-11-04",10.42.00,133.1500,133.1700,133.1354,133.1700,5603
="2019-11-04",10.43.00,133.1838,133.1900,133.1200,133.1600,6986
="2019-11-04",10.44.00,133.1501,133.1800,133.1400,133.1800,6425
="2019-11-04",10.45.00,133.1701,133.2150,133.1600,133.1700,4768
="2019-11-04",10.46.00,133.1500,133.1900,133.1500,133.1877,6691
="2019-11-04",10.47.00,133.1700,133.1850,133.1401,133.1850,5249
="2019-11-04",10.48.00,133.1800,133.1900,133.1500,133.1800,6959
="2019-11-04",10.49.00,133.1950,133.2400,133.1924,133.2200,11166
="2019-11-04",10.50.00,133.2255,133.2300,133.2000,133.2000,7575
="2019-11-04",10.51.00,133.1912,133.2004,133.1600,133.1600,5726
="2019-11-04",10.52.00,133.1565,133.1600,133.1300,133.1400,3333
="2019-11-04",10.53.00,133.1300,133.1400,133.1100,133.1100,3855
="2019-11-04",10.54.00,133.1000,133.1300,133.0900,133.1300,11441
="2019-11-04",10.55.00,133.1300,133.1300,133.0800,133.0900,5269
="2019-11-04",10.56.00,133.0900,133.1200,133.0800,133.0950,5960
="2019-11-04",10.57.00,133.1000,133.1400,133.0916,133.1200,7017
="2019-11-04",10.58.00,133.1250,133.1250,133.0800,133.0900,15624
="2019-11-04",10.59.00,133.0900,133.1100,133.0100,133.0200,32565
="2019-11-04",11.00.00,133.0050,133.0100,132.9627,132.9750,21083
="2019-11-04",11.01.00,132.9800,132.9900,132.9700,132.9800,6815
="2019-11-04",11.02.00,132.9700,132.9700,132.9300,132.9500,5608
="2019-11-04",11.03.00,132.9500,132.9500,132.9000,132.9300,6703
="2019-11-04",11.04.00,132.9220,132.9900,132.9220,132.9800,4637
="2019-11-04",11.05.00,132.9800,133.0700,132.9800,133.0611,9904
="2019-11-04",11.06.00,133.0100,133.0199,132.9800,133.0000,10129
="2019-11-04",11.07.00,133.0000,133.0600,132.9900,133.0168,13416
="2019-11-04",11.08.00,133.0150,133.0500,133.0150,133.0400,7658
="2019-11-04",11.09.00,133.0430,133.0430,133.0200,133.0300,3447
="2019-11-04",11.10.00,133.0200,133.0800,133.0200,133.0800,6282
="2019-11-04",11.11.00,133.0800,133.0800,133.0100,133.0100,14950
="2019-11-04",11.12.00,133.0100,133.0600,133.0000,133.0600,12817
="2019-11-04",11.13.00,133.0600,133.0866,133.0500,133.0700,7323
="2019-11-04",11.14.00,133.0650,133.0800,133.0200,133.0750,6723
="2019-11-04",11.15.00,133.0750,133.0800,133.0531,133.0700,5201
="2019-11-04",11.16.00,133.0700,133.0900,133.0300,133.0400,12322
="2019-11-04",11.17.00,133.0250,133.0500,133.0000,133.0100,10452
="2019-11-04",11.18.00,133.0000,133.0100,132.9700,132.9850,6943
="2019-11-04",11.19.00,132.9800,133.0500,132.9800,133.0300,17306
="2019-11-04",11.20.00,133.0400,133.0700,133.0200,133.0600,6534
="2019-11-04",11.21.00,133.0500,133.0500,133.0200,133.0200,3735
="2019-11-04",11.22.00,133.0100,133.0550,133.0100,133.0400,4883
="2019-11-04",11.23.00,133.0500,133.0534,132.9900,133.0500,9967
="2019-11-04",11.24.00,133.0600,133.0800,133.0500,133.0500,8267
="2019-11-04",11.25.00,133.0511,133.0511,132.9950,133.0200,10634
="2019-11-04",11.26.00,133.0150,133.0396,133.0100,133.0352,2157
